school_year,district_id,LEA,school_id,school_number,School,core_code,course_section,grade_level,Student enrollment
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100111,9,33
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100121,9,38
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100151,9,32
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100161,9,38
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100221,9,35
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100231,9,31
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100271,9,38
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS100281,9,36
2015,122,Alpine,65563,420,Timberline Middle School,32020000240,CS10Y0247,9,21
2015,122,Alpine,65563,420,Timberline Middle School,35020000007,C60720157,9,38
2015,122,Alpine,65563,420,Timberline Middle School,35020000007,C60720177,9,37
2015,122,Alpine,65563,420,Timberline Middle School,35020000007,C60720257,9,31
2015,122,Alpine,65563,420,Timberline Middle School,35020000007,C60720287,9,34
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100121,9,42
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100122,9,41
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100221,9,40
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100222,9,41
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100321,9,42
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100322,9,40
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100421,9,40
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100422,9,40
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100511,9,28
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100621,9,32
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100622,9,29
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100811,9,39
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100821,9,41
2015,122,Alpine,130582,425,Willow Creek Middle School,32020000240,CS100822,9,40
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100151,9,45
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100152,9,45
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100252,9,31
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100351,9,44
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100352,9,44
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100451,9,46
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100452,9,40
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100551,9,39
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100552,9,37
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100651,9,38
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100751,9,38
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100851,9,43
2015,122,Alpine,186162,490,Vista Heights Middle School,32020000240,CS100852,9,41
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100231,9,41
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100232,9,39
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100331,9,40
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100332,9,36
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100431,9,42
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100432,9,43
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100531,9,40
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100632,9,40
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100731,9,40
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100831,9,37
2015,122,Alpine,186328,417,Frontier Middle School,32020000240,CS100832,9,39
2015,197,Beaver,202,704,Beaver High School,32020000240,85501,9,15
2015,197,Beaver,202,704,Beaver High School,32020000240,85502,9,13
2015,197,Beaver,202,704,Beaver High School,32020000240,85503,9,27
2015,197,Beaver,202,704,Beaver High School,32020000240,85504,9,27
2015,197,Beaver,202,704,Beaver High School,32020000240,85508,9,2
2015,197,Beaver,203,708,Milford High School,32020000240,85501,9,19
2015,197,Beaver,203,708,Milford High School,32020000240,85502,9,23
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380551,9,36
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,3805510,9,34
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,3805511,9,34
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,3805512,9,34
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380552,9,34
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380553,9,31
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380555,9,38
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380556,9,35
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380557,9,37
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380558,9,37
2015,205,Box Elder,233,404,Bear River Middle School,32020000240,380559,9,35
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380551,9,30
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805510,9,28
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805511,9,28
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805512,9,31
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805513,9,32
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805514,9,33
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805515,9,31
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,3805516,9,31
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380552,9,28
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380553,9,29
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380554,9,32
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380555,9,28
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380556,9,31
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380557,9,30
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380558,9,31
2015,205,Box Elder,234,408,Box Elder Middle School,32020000240,380559,9,27
2015,205,Box Elder,240,778,Dale Young Community High,32020000240,380553,9,2
2015,279,Carbon,293,704,Carbon High School,32020000240,21201,9,29
2015,279,Carbon,293,704,Carbon High School,32020000240,21202,9,28
2015,279,Carbon,293,704,Carbon High School,32020000240,21203,9,17
2015,279,Carbon,293,704,Carbon High School,32020000240,21204,9,14
2015,279,Carbon,293,704,Carbon High School,32020000240,21205,9,26
2015,279,Carbon,293,704,Carbon High School,32020000240,21206,9,28
2015,279,Carbon,293,704,Carbon High School,32020000240,21207,9,23
2015,279,Carbon,293,704,Carbon High School,32020000240,21208,9,18
2015,279,Carbon,293,704,Carbon High School,32020000240,21209,9,12
